text,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,sentiment
"Since last few video, I have noticed that the thumbnails are always in a negative tone.",3.0,2.0,3.0,2.0,4.0,Negative
"The video which start with ""criticising"" how can give neutral opinion. So i skipped video to watch",3.0,5.0,2.0,2.0,2.0,Negative
This is obviously a step to lead the nation to one party rule. I don't trust any political party who gets absolute majority. Imagine having no accountability for 5 yrs and voters not having any option to overthrow rulers .,3.0,4.0,3.0,2.0,4.0,Negative
"Isn't it completely fine to have all the elections at a time, probably fake voters can also be reduced with this scheme",2.0,3.0,2.0,2.0,3.0,Negative
People of Odisha are already regretting by choosing BJP.....In 2029 BJP won't even a single seat unless the rig the EVM,3.0,2.0,3.0,2.0,4.0,Negative
"Simple put, Having elections once is beneficial both econmonically and governance point of view.  Many regional parties have crushed National parties during simulateneous elections,",3.0,4.0,3.0,4.0,2.0,Negative
I feel immature worry about local issues muted through one Nation one election because election happens in one day and it depends on the leadership got elected from local party or local leaders may use it whether to resolve or benefitted from the issue,3.0,3.0,3.0,4.0,4.0,Negative
Democracy is already dead in India,3.0,2.0,3.0,2.0,4.0,Negative
"Benefits of One Nation one Election are far more than the drawbacks. Already in many states simultaneously election are ongoing. It saves a lots of money, time, energy which can be utilised for benefit of the people. It's the need of the time.",3.0,5.0,3.0,5.0,2.0,Negative
"The amount of logistics, mobilising ppl.. my god...even a child can say that it's high time we need it.. we have bunch of morons living around us with no regards for good governance, just wants to win by hook or crook and loot ppl",3.0,2.0,4.0,2.0,4.0,Negative
We cannot expect anything good from this country.,2.0,2.0,3.0,2.0,4.0,Negative
Always air opposition views but no single or good things done by current govt.,4.0,2.0,2.0,3.0,3.0,Negative
"""India is not a Nation."".  You are repeating what Rahul Gandhi famously said. You are a Congress. Very partisan. Buddhi Jeevi misleading gullible voters. Very bad. Bad for the country.",2.0,2.0,3.0,1.0,4.0,Negative
One thing you missed to mention is the fact that India  had one election across the country till the constitution was amended  IN 1970.,3.0,5.0,4.0,3.0,2.0,Negative
It will be bad for bjp only,3.0,2.0,3.0,3.0,2.0,Negative
Spending all our tax money on elections are just wasting the money that can be used for development,3.0,5.0,3.0,3.0,2.0,Negative
"Absolute fascist crap policy. And yes, it is an authoritarian death knell for democracy, especially state autonomy. Union government has the power to shrink state government term and also this system will result in more number of state election. BJP should be abolished in India to save democracy.",2.0,4.0,3.0,2.0,4.0,Negative
All these people who oppose ONOE are assuming that people of India are stupid and brainless and only these leftists and elite people are intellectuals and the vast majority of people are useless.,2.0,2.0,5.0,1.0,4.0,Negative
"It is indeed a master stroke.Electioneering is a time consuming and expensive thing and by implementing one nation one election,we can save manpower and money.",2.0,5.0,3.0,4.0,2.0,Negative
"One 1 Nation , One 1 Party , One 1 Leader. Modi MaMa.... RIP India.",2.0,3.0,5.0,2.0,4.0,Negative
For one time settlement even they lose 1 year or extend one year no probpems. People are voting they can vote for who they want. So dont bullshit make one india one election,3.0,4.0,4.0,3.0,2.0,Negative
Stop bullshitting in states local persons only standing as candidates so how local issues are not highlighted,3.0,4.0,3.0,3.0,2.0,Negative
I am not a jbp spokesperson but i know one thing bjp govt wont do anything yhat is harmful to india and other parties will do,3.0,4.0,2.0,4.0,1.0,Negative
I dont understand why people against this bill. I am an indian always thought why india not conducting elections at on go.,3.0,4.0,3.0,4.0,2.0,Negative
"Irrelevant blabbering instead of logical arguments by opposition.
We need to understand a lot of public money is wasted in elections. Most of the states are under-debt and lurks for funds from center.",3.0,2.0,2.0,2.0,3.0,Negative
No issues these are petty issues infact even local body elections should be conducted along with the other two.,3.0,4.0,3.0,4.0,2.0,Negative
is DEMOCRACY dead in the United states which is the largest real democratic country,3.0,4.0,3.0,2.0,4.0,Negative
It will bring political dissatisfaction among people. It will eventually result in two party system or pre poll alliance party system.,4.0,4.0,3.0,3.0,5.0,Negative
World over democracy is destroyed by the people of the people for the people. People are unfair and unethical.,2.0,2.0,2.0,1.0,3.0,Negative
"Everybody frauds when it comes to political games,",2.0,3.0,3.0,2.0,4.0,Negative
"To address midterm elections issues, who ever mla changes party after elections they should be disqualified then this issue wont come",3.0,4.0,3.0,2.0,3.0,Negative
"If it's one election one nation, what they mean is, it's easy to cheat instead of a tough election cheating policies",3.0,2.0,3.0,3.0,4.0,Negative
If some one is putting cost vs right principles. Then we shall always choose right principles. Became cost can be minimized by right approach and tech. But wrong principles can create a havoc with long lasting implications.,2.0,5.0,3.0,5.0,2.0,Negative
"One Nation One Election practice was continued till 1967, due to the premature dissolution of some state assemblies in 1968 and 1969 by the Congress, the system of simultaneous elections was disrupted. Congress party's plan is to ruin our country with a collaboration with that bloody idiot Sores.",2.0,3.0,3.0,2.0,4.0,Negative
"One nation one election will destroy  Democracy, finally ruin India.",2.0,3.0,2.0,1.0,4.0,Negative
One nation and one election need to happen due to when ever you visit govt office and police station they will say they are busy in election come after elections due to this common people suffering for delay of work and delay of procedures.,2.0,3.0,3.0,1.0,3.0,Negative
My village is less schemes after BJP come to government in manipur... Even my father was the chief of my village.. He even openly said that.. Less schemes after BJP makes the government.,3.0,4.0,2.0,4.0,2.0,Negative
"why no one is talking about rigging.
polling booth security issues, that all army serving nation pooling, border security concerns.
voting machine tampering frauds.

All will happen smoothely, allow BJP to cheat",2.0,2.0,4.0,1.0,5.0,Negative
We should just have separate nations it's too much complicated to have this federal democracy,2.0,2.0,2.0,3.0,4.0,Negative
"Time for India to stay in trap or take a risky move for greater future, ultimately its people's choice, rest are efforts of pulling of sides.",3.0,3.0,3.0,4.0,2.0,Negative
This bill will be more expensive and threat to nation like all forces will be busy in nation and intruders  will get opportunity to act,2.0,5.0,2.0,3.0,4.0,Negative
Can you give me any example of current scenario  where voters are dissatisfied  and they made the govt. of state or central for reelection.  Any example.,3.0,4.0,3.0,4.0,2.0,Negative
It's death of democracy. States won't be able to get attention to their issues if elections are conducted with National election.,3.0,4.0,3.0,2.0,4.0,Negative
Your analysis is very biased and lack of knowledge or may be you intentionally hide first 4 election which are held together successfully,2.0,2.0,3.0,2.0,4.0,Negative
It is public's fault too to endure such political struggle,3.0,3.0,3.0,3.0,4.0,Negative
If One Nation One Election is the death of democracy in India then democracy died in 1951-52.,2.0,3.0,3.0,2.0,4.0,Negative
"These days elections itself in questionable situation where no one bothers to answer.If elections removed ,can save more money and more days of campaigning.",2.0,3.0,2.0,3.0,2.0,Negative
"He is killing the democracy, they are forcely demand revolution people of india.",2.0,2.0,3.0,2.0,4.0,Negative
"Don't compare US to India. 
US is a joke with respect to their leaders and election",2.0,3.0,4.0,2.0,4.0,Negative
Kyu fukat ka ads deta hai humko nahi sunna hai if you want I can in subscribe your channel this is very irritating.,3.0,3.0,4.0,3.0,4.0,Negative
It is the corruption issue that is a big challenge now.,3.0,5.0,3.0,4.0,3.0,Negative
This article undermines the intelligence of votersand says that they cannot chose two different parties or same party for center and state.,2.0,3.0,3.0,2.0,4.0,Negative
Changes required what loss is there fast decisions useful to public your statement is waste shut please,2.0,3.0,2.0,2.0,4.0,Negative
"In my opinion , this bill  will be sowing seeds of voilence in the minds of unfavoured, people who lack influence in power politicks.",3.0,2.0,3.0,2.0,4.0,Negative
"In my opinion , this bill  will be sowing seeds of voilence in the minds of unfavoured, people who lack influence in power politicks.",2.0,2.0,3.0,2.0,4.0,Negative
"There may be more complexity but the political circus needs a change, where still the common persons life has not changed even though their favourable party has won the states. common people issues are only a marketing strategy.",3.0,2.0,3.0,3.0,4.0,Negative
Opposition parties will never let this bill become a reality. BJP's and the country's dreams will be shattered.,3.0,2.0,3.0,2.0,4.0,Negative
Pepole are not sheeps these days they were well knowledged   to whom to get into power so no problem in working one Nation one election,2.0,3.0,3.0,3.0,2.0,Negative
This guy is really sold out.. to Gandhi's,2.0,2.0,3.0,2.0,3.0,Negative
People choose party is biggest joke in India.. people sell votes for money and alcohol.. This is sad reality,3.0,2.0,4.0,2.0,4.0,Negative
People choose party is biggest joke in India.. people sell votes for money and alcohol.. This is sad reality,3.0,4.0,2.0,2.0,4.0,Negative
Common sense tells there should be some room to blame others in case things go downhill,3.0,2.0,3.0,4.0,3.0,Negative
I have some respect for your channel. But title of this video is really bad.,4.0,3.0,2.0,3.0,2.0,Negative
We always underestimate India's constitution.,3.0,3.0,3.0,4.0,2.0,Negative
I dont like bjp as a party but i support this one nation one election,3.0,4.0,3.0,4.0,2.0,Negative
Your opining seems biased. Even the thumbnail shows PM as a villain. I'm not speaking as a supporter of BJP but this video just explored one side in a careful disguise,2.0,4.0,2.0,3.0,2.0,Negative
You have literally five years to do your job and to make policies... Still you are getting pissed because of MCC.,3.0,5.0,4.0,3.0,4.0,Negative
You are also doing a TRP circus for your own show. You are not that smart to decode or analyze this.,2.0,2.0,3.0,2.0,3.0,Negative
"India is not just oddisa and andhra hope brahman bhakts understand. 2024 elections bjp has been in advantage position in both state and lok sabha elections. 
This is killing regionalism in name of nationalism.",2.0,3.0,2.0,3.0,3.0,Negative
So fear of modi wave is the real reason for not supporting one nation one election.,3.0,3.0,3.0,3.0,2.0,Negative
"Every change has pros and cons, weigh the same and take call.
Either way freebies culture in recent past has destroyed the election and subsequent governance",3.0,4.0,2.0,2.0,3.0,Negative
"For me, no points were new. In fact, your last line to fix the model code of conduct needs explanation. Because Making MOC weaker creates bigger problems. One Nation Two Election could be more realistic approach as it solves most of the issues",2.0,4.0,3.0,4.0,2.0,Negative
And ya for this worthless logic I am just reporting your video for misleading people who are already misleaded by Congress.,2.0,2.0,2.0,1.0,4.0,Negative
I have to skip 1 full semester due to 2014 election.,3.0,1.0,2.0,3.0,5.0,Negative
As you said that a midway collapsed state's new government may resort to freebies or etc wouldnt ot be much better to just governed by rashtrapati till next election if that new term is to be for less then 2 or 2  year.,3.0,2.0,3.0,4.0,2.0,Negative
Don't know much about politics but I think a government collapse is not that common. Ofcourse there are cons to everything but this point is debatable.,3.0,4.0,3.0,4.0,2.0,Negative
People from the rich states like kerela and Maharashtra would probably like the one nation one election. But as someone from the North East where unemployment reigns supreme its scary to think what would happen if this goes through. We would basically be neglected even more soo then we are now.,4.0,2.0,3.0,2.0,4.0,Negative
Congress must understand that BJP is holding a double edge sword on this.,3.0,4.0,3.0,3.0,2.0,Negative
Democracies is worst state of governance.,2.0,2.0,3.0,2.0,3.0,Negative
"One National Election, One state Election and One Local Election must run separately but not simultaneously at the same time because it may cause confusion and lack of local officials for performing Election duty and may have problem of providing required material.",3.0,5.0,2.0,5.0,2.0,Negative
dont consider voters as fools who can't observe the basic things and make decisions so i stand with one nation one election and save my tax money,3.0,4.0,2.0,3.0,2.0,Negative
Just by tweaking the Code of conduct will not resolve the issue. Election demands huge resources and the level of corruption involved so on n so forth.. there is a need to reset the election system.,3.0,5.0,4.0,3.0,2.0,Negative
So.. conducting elections mid term when the government collapses..then again we are spending money right. It's again costly right.,3.0,2.0,2.0,3.0,4.0,Negative
President rule should be enacted when a government falls .Till the next elections it'll discourage pety rivalary between parties,3.0,5.0,3.0,4.0,3.0,Negative
Anyone Pls tell what will happen if union govt collapsed in between.,2.0,3.0,3.0,4.0,3.0,Negative
Bill is not good End of democracy,2.0,2.0,2.0,1.0,4.0,Negative
Bro it is a scam it will become like china.... Neverallow that,2.0,5.0,3.0,3.0,4.0,Negative
A Ganya.... Shuk Shuk. Your leftist mindset must improve.,4.0,3.0,2.0,2.0,3.0,Negative
Actually ONOP is death of freebies and pseudo secular culture,2.0,5.0,3.0,2.0,4.0,Negative
"Not good, you seem to be sold",3.0,2.0,2.0,2.0,4.0,Negative
without a right to recall representive this bill will be useless and only lead politician to the arrogance,2.0,4.0,3.0,2.0,3.0,Negative
"I want it because - it will lessen the burndn of gov workwes speciallly the teachers, police and ...,",3.0,5.0,3.0,5.0,2.0,Negative
"I did not understand the last question, what is the argument presented there, can someone please explain",3.0,3.0,3.0,4.0,3.0,Negative
"I don't understand why oppositions are afraid of one nation, one election. Is it because they are confident that they will never come into power again.",3.0,4.0,3.0,2.0,2.0,Negative
I watched full video but still can't decide which one is good.,3.0,3.0,3.0,3.0,2.0,Negative
"If people don't like the government they can hold them accountable by not voting for them, you dont need regular elections. Even in UP if people think Yogi is not doing good he will be replaced if people think that he should be replaced",3.0,3.0,4.0,4.0,2.0,Negative
"The point this guy presents against government for remaining times having to focus on getting themselves elected or freebies is true even today.
Lost trust in him as he has ideology, he smartly uses numbers to project his bias.",3.0,2.0,3.0,2.0,3.0,Negative
Source BBC -what a shame,3.0,3.0,2.0,4.0,2.0,Negative
"Corruption is already bleeding our country's resources, so ONOE will atleast reduce the legal burning of hard earned tax payers money.",3.0,4.0,2.0,4.0,2.0,Negative
"Instead of focusing on corruption, education and healthcare which will really benefit the people and the nation they are trying to do elections at the same time outcome of which is dubious.",3.0,3.0,3.0,4.0,2.0,Negative
"Leadership matters... With people like Rahul leading a political party....  democracy is in danger all the time.... I don't vote for bjp for their goodness, but the fear of giving power to a person like Rahul...",3.0,3.0,4.0,2.0,4.0,Negative
The benefits of one nation one elections outweighs the negative impact. We want ONOE.,3.0,4.0,3.0,4.0,2.0,Negative
It is a joke. ECI can't even conduct state elections in single phase properly. It will fail same as demonetization,3.0,2.0,3.0,2.0,4.0,Negative
Opposition parties are shitting in their chaddies because they cannot have rohingyas and fake muslims in all the areas and therefore lose their deposits. The present govt. Should show their guts and resolute will to defeat their plans.,2.0,4.0,4.0,2.0,3.0,Negative
Tweaking model code of conduct can be tricky and way more controversial,4.0,3.0,3.0,3.0,4.0,Negative
This happens it will be big problem to the south as it's mentioned in the video,3.0,4.0,3.0,4.0,3.0,Negative
already lost trust on british india,3.0,2.0,3.0,2.0,4.0,Negative
"Your logic is very poor and the points you raised are equally applicable for major parties also. Mainly smaller parties which try to gain advantage when there is no clear cut result, do not want to spend more often, want to stay for 5 years once they win.",3.0,2.0,3.0,2.0,4.0,Negative
Misleading information,3.0,2.0,3.0,2.0,4.0,Negative
"If we want development like China, this is one of the step. Without changing the existing system, nothing would change for next 100 years. Sadguru talked about one nation one election long back.",3.0,5.0,3.0,3.0,2.0,Negative
Voter is not a fool. Indian voters are smart enough to differentiate between national and local issues,3.0,4.0,3.0,4.0,2.0,Negative
"The foremost important is to make laws to protect your citizens. And implement strict laws. Every day just because of the law, deaths are of no importance in the nation.",2.0,5.0,2.0,2.0,3.0,Negative
Wow he is pathetic....talking about problems not solutions.....,3.0,2.0,3.0,2.0,4.0,Negative
"I dont think what difference does it maketo a vote... In my state Andhra Pradesh,mla and mp elections happen at same time. And people can still choose right which party to vote for state and central level. So I m confused. What difference does it make.",3.0,4.0,2.0,4.0,2.0,Negative
Regional parties will suffer,3.0,5.0,2.0,3.0,2.0,Negative
Very disappointed that the spirit of federal government found no mention in the video.,3.0,4.0,3.0,4.0,4.0,Negative
I strongly think bjp's point on focused governance outweights all the hurdle putforth by opposition,3.0,5.0,3.0,4.0,2.0,Negative
I believe in Modi's vision bcz they he have most adminstration experience as aCM and PM. And whatever he do he do for Nation. Other parties have no guts to take any decisions.,3.0,5.0,4.0,2.0,2.0,Negative
"If he wasn't a power hungry tyrant, he'd be right. But you know his real intentions are just to consolidate his power in the long run. If you don't, then you are his target demographic.",2.0,2.0,3.0,2.0,4.0,Negative
In the odisha assembly election and parliamentary election are happening at the same time. So the point that overlapping national and state issues is not a valid point.,3.0,4.0,2.0,3.0,2.0,Negative
ONOE won't stand the legal battle. Why should states dissolve their elected tenures if parliament collapses and when vice-versa is not possible. Basic doctrine clearly states that india is a federal polity.,3.0,4.0,3.0,4.0,2.0,Negative
Keeping aside BJP as thr ruling party with lack lusture opposition . I think the issue is simply that india has too many parties for this to work.,3.0,3.0,3.0,3.0,2.0,Negative
Adult franchise without education and elections to innumerable posts shall definitely make the country go bankrupt. From cooperative society to parliament it is the procession of elections here has made us look like fools in the world.,2.0,5.0,3.0,3.0,4.0,Negative
Misleading information on this video. ONOE is practically in place in states like AP. Local issues and regional parties are unimpacted.,3.0,4.0,3.0,4.0,2.0,Negative
I support one election. It is too much waste of time energy and money of too many people for elections,3.0,5.0,2.0,2.0,2.0,Negative
"Central election once then after 36 months, all state elections at once.

1 nation 2 election, will solve the suppression of state issue problem, but the problem of incomplete tenure still continues to exist",3.0,4.0,3.0,3.0,2.0,Negative
"Why are you spreading this kind of self developed aganda, if you are not well informed about the constitutional amendments and political principles regarding this.",2.0,4.0,2.0,3.0,3.0,Negative
Ye bhi congress ka toolkit lag rha he. Problem hongi phir solution bhi milega. Kaunsi aesi chiz he zo 100 percent kaam krti he.,3.0,4.0,3.0,2.0,2.0,Negative
"If ""one nation, one election"" will be death of democracy then this democracy was born dead and has been damned afterwards.",3.0,2.0,3.0,2.0,4.0,Negative
I don't know how true it is but if political parties know that if govt collapse and new election happened they only get unexpired term to rule so maybe they don't want govt to fall till then and try to win next election.,3.0,4.0,3.0,4.0,2.0,Negative
This channel is sounding more and more biased as time progresses. Its no more a balanced channel. Sad to see this channel too falling away from national interest...,3.0,4.0,3.0,2.0,2.0,Negative
It is not possible only because initial it started with one nation one election only but many time state machinery fails and there is a state emergency and again elections are re held it not practically possible,3.0,4.0,3.0,3.0,2.0,Negative
In a country like India it's not suitable.  This model is suitable for small countries,3.0,4.0,3.0,3.0,4.0,Negative
"Agreed. An amendment to the MCC would better serve the nation and democracy. The concept of one nation, one election is not suitable, considering the psychological implications on a large, uneducated, and illiterate population.",4.0,4.0,3.0,3.0,3.0,Negative
